Date,Number Games,Total Attendance,Avg Attendance Per Game
2006-10-31,2,39226,19613
2006-11-01,13,242688,18668.30769
2006-11-02,2,38466,19233
2006-11-03,13,242171,18628.53846
2006-11-04,9,175518,19502
2006-11-05,5,84912,16982.4
2006-11-06,7,127829,18261.28571
2006-11-07,6,108307,18051.16667
2006-11-08,11,181349,16486.27273
2006-11-09,3,55296,18432
2006-11-10,10,172172,17217.2
2006-11-11,8,152401,19050.125
2006-11-12,7,117698,16814
2006-11-13,3,47239,15746.33333
2006-11-14,8,137846,17230.75
2006-11-15,9,154157,17128.55556
2006-11-16,2,34585,17292.5
2006-11-17,10,185983,18598.3
2006-11-18,13,237534,18271.84615
2006-11-19,2,36314,18157
2006-11-20,7,109660,15665.71429
2006-11-21,7,125942,17991.71429
2006-11-22,13,222354,17104.15385
2006-11-24,13,235336,18102.76923
2006-11-25,11,201373,18306.63636
2006-11-26,5,84401,16880.2
2006-11-27,4,73506,18376.5
2006-11-28,9,141025,15669.44444
2006-11-29,9,154361,17151.22222
2006-11-30,2,38597,19298.5
2006-12-01,10,177704,17770.4
2006-12-02,10,191347,19134.7
2006-12-03,4,56078,14019.5
2006-12-04,7,125565,17937.85714
2006-12-05,6,104852,17475.33333
2006-12-06,10,163394,16339.4
2006-12-07,3,54435,18145
2006-12-08,12,204488,17040.66667
2006-12-09,9,167623,18624.77778
2006-12-10,5,81565,16313
2006-12-11,9,155199,17244.33333
2006-12-12,4,64171,16042.75
2006-12-13,13,221915,17070.38462
2006-12-14,3,52487,17495.66667
2006-12-15,12,221664,18472
2006-12-16,10,177584,17758.4
2006-12-17,5,91497,18299.4
2006-12-18,6,95662,15943.66667
2006-12-19,2,41183,20591.5
2006-12-20,12,200216,16684.66667
2006-12-21,2,37879,18939.5
2006-12-22,13,228009,17539.15385
2006-12-23,11,198487,18044.27273
2006-12-25,1,20283,20283
2006-12-26,11,205282,18662
2006-12-27,11,198863,18078.45455
2006-12-28,3,56680,18893.33333
2006-12-29,13,255664,19666.46154
2006-12-30,9,167425,18602.77778
2006-12-31,7,130691,18670.14286
2007-01-01,2,26983,13491.5
2007-01-02,7,131944,18849.14286
2007-01-03,9,143395,15932.77778
2007-01-04,3,55794,18598
2007-01-05,12,213546,17795.5
2007-01-06,7,126714,18102
2007-01-07,7,124534,17790.57143
2007-01-08,3,51704,17234.66667
2007-01-09,8,132214,16526.75
2007-01-10,12,206734,17227.83333
2007-01-11,2,40353,20176.5
2007-01-12,12,200352,16696
2007-01-13,9,169955,18883.88889
2007-01-14,2,36690,18345
2007-01-15,11,194402,17672.90909
2007-01-16,3,53561,17853.66667
2007-01-17,11,181418,16492.54545
2007-01-18,2,40046,20023
2007-01-19,11,189431,17221
2007-01-20,10,190378,19037.8
2007-01-21,4,67785,16946.25
2007-01-22,9,158700,17633.33333
2007-01-23,6,106337,17722.83333
2007-01-24,11,185923,16902.09091
2007-01-25,2,40298,20149
2007-01-26,12,224707,18725.58333
2007-01-27,9,165395,18377.22222
2007-01-28,6,111201,18533.5
2007-01-29,7,108283,15469
2007-01-30,6,111946,18657.66667
2007-01-31,13,211600,16276.92308
2007-02-01,2,38547,19273.5
2007-02-02,10,173072,17307.2
2007-02-03,10,181061,18106.1
2007-02-04,3,52178,17392.66667
2007-02-05,9,146663,16295.88889
2007-02-06,5,83861,16772.2
2007-02-07,10,159379,15937.9
2007-02-08,3,56757,18919
2007-02-09,11,194997,17727
2007-02-10,7,131233,18747.57143
2007-02-11,9,159495,17721.66667
2007-02-12,3,57500,19166.66667
2007-02-13,7,115649,16521.28571
2007-02-14,13,216011,16616.23077
2007-02-15,2,37267,18633.5
2007-02-20,10,172950,17295
2007-02-21,11,190209,17291.72727
2007-02-22,3,56518,18839.33333
2007-02-23,12,221631,18469.25
2007-02-24,6,112292,18715.33333
2007-02-25,8,145548,18193.5
2007-02-26,10,175300,17530
2007-02-27,5,75198,15039.6
2007-02-28,10,173499,17349.9
2007-03-01,3,50092,16697.33333
2007-03-02,11,207314,18846.72727
2007-03-03,8,145760,18220
2007-03-04,7,119668,17095.42857
2007-03-05,6,117265,19544.16667
2007-03-06,7,119253,17036.14286
2007-03-07,10,176258,17625.8
2007-03-08,2,34768,17384
2007-03-09,8,145402,18175.25
2007-03-10,7,125547,17935.28571
2007-03-11,9,164285,18253.88889
2007-03-12,5,76137,15227.4
2007-03-13,9,154931,17214.55556
2007-03-14,10,167833,16783.3
2007-03-15,3,51299,17099.66667
2007-03-16,9,170059,18895.44444
2007-03-17,9,158151,17572.33333
2007-03-18,7,130573,18653.28571
2007-03-19,2,33043,16521.5
2007-03-20,10,177733,17773.3
2007-03-21,8,138228,17278.5
2007-03-22,5,93757,18751.4
2007-03-23,12,219320,18276.66667
2007-03-24,4,76022,19005.5
2007-03-25,9,161578,17953.11111
2007-03-26,9,168808,18756.44444
2007-03-27,4,67305,16826.25
2007-03-28,11,199417,18128.81818
2007-03-29,3,57457,19152.33333
2007-03-30,12,221178,18431.5
2007-03-31,4,77048,19262
2007-04-01,12,213596,17799.66667
2007-04-03,9,148948,16549.77778
2007-04-04,11,187999,17090.81818
2007-04-05,2,39359,19679.5
2007-04-06,13,238227,18325.15385
2007-04-07,9,165202,18355.77778
2007-04-08,6,111715,18619.16667
2007-04-09,8,140606,17575.75
2007-04-10,7,116575,16653.57143
2007-04-11,9,162061,18006.77778
2007-04-12,2,39559,19779.5
2007-04-13,12,230177,19181.41667
2007-04-14,7,133374,19053.42857
2007-04-15,9,174389,19376.55556
2007-04-16,8,142004,17750.5
2007-04-17,6,110159,18359.83333
2007-04-18,14,246365,17597.5
2007-04-21,4,82784,20696
2007-04-22,4,78513,19628.25
