Start Date,End Date,Visitor/Neutral,Home/Neutral
2011-12-25,2011-12-27,Boston Celtics,New York Knicks
2011-12-25,2011-12-27,Miami Heat,Dallas Mavericks
2011-12-25,2011-12-27,Chicago Bulls,Los Angeles Lakers
2011-12-25,2011-12-27,Orlando Magic,Oklahoma City Thunder
2011-12-25,2011-12-27,Los Angeles Clippers,Golden State Warriors
2011-12-26,2011-12-28,Toronto Raptors,Cleveland Cavaliers
2011-12-26,2011-12-28,New Jersey Nets,Washington Wizards
2011-12-26,2011-12-28,Houston Rockets,Orlando Magic
2011-12-26,2011-12-28,Detroit Pistons,Indiana Pacers
2011-12-26,2011-12-28,Milwaukee Bucks,Charlotte Bobcats
2011-12-26,2011-12-28,Oklahoma City Thunder,Minnesota Timberwolves
2011-12-26,2011-12-28,Denver Nuggets,Dallas Mavericks
2011-12-26,2011-12-28,Memphis Grizzlies,San Antonio Spurs
2011-12-26,2011-12-28,New Orleans Hornets,Phoenix Suns
2011-12-26,2011-12-28,Philadelphia 76ers,Portland Trail Blazers
2011-12-26,2011-12-28,Los Angeles Lakers,Sacramento Kings
2011-12-26,2011-12-28,Chicago Bulls,Golden State Warriors
2011-12-27,2011-12-29,Atlanta Hawks,New Jersey Nets
2011-12-27,2011-12-29,Boston Celtics,Miami Heat
2011-12-27,2011-12-29,Minnesota Timberwolves,Milwaukee Bucks
2011-12-27,2011-12-29,Sacramento Kings,Portland Trail Blazers
2011-12-27,2011-12-29,Utah Jazz,Los Angeles Lakers
2011-12-28,2011-12-30,Indiana Pacers,Toronto Raptors
2011-12-28,2011-12-30,Miami Heat,Charlotte Bobcats
2011-12-28,2011-12-30,Washington Wizards,Atlanta Hawks
2011-12-28,2011-12-30,Cleveland Cavaliers,Detroit Pistons
2011-12-28,2011-12-30,Boston Celtics,New Orleans Hornets
2011-12-28,2011-12-30,Oklahoma City Thunder,Memphis Grizzlies
2011-12-28,2011-12-30,Los Angeles Clippers,San Antonio Spurs
2011-12-28,2011-12-30,Philadelphia 76ers,Phoenix Suns
2011-12-28,2011-12-30,Utah Jazz,Denver Nuggets
2011-12-28,2011-12-30,New York Knicks,Golden State Warriors
2011-12-29,2011-12-31,New Jersey Nets,Orlando Magic
2011-12-29,2011-12-31,San Antonio Spurs,Houston Rockets
2011-12-29,2011-12-31,Dallas Mavericks,Oklahoma City Thunder
2011-12-29,2011-12-31,Denver Nuggets,Portland Trail Blazers
2011-12-29,2011-12-31,Chicago Bulls,Sacramento Kings
2011-12-29,2011-12-31,New York Knicks,Los Angeles Lakers
2011-12-30,2012-1-1,Orlando Magic,Charlotte Bobcats
2011-12-30,2012-1-1,Cleveland Cavaliers,Indiana Pacers
2011-12-30,2012-1-1,New Jersey Nets,Atlanta Hawks
2011-12-30,2012-1-1,Detroit Pistons,Boston Celtics
2011-12-30,2012-1-1,Phoenix Suns,New Orleans Hornets
2011-12-30,2012-1-1,Houston Rockets,Memphis Grizzlies
2011-12-30,2012-1-1,Miami Heat,Minnesota Timberwolves
2011-12-30,2012-1-1,Toronto Raptors,Dallas Mavericks
2011-12-30,2012-1-1,Washington Wizards,Milwaukee Bucks
2011-12-30,2012-1-1,Philadelphia 76ers,Utah Jazz
2011-12-30,2012-1-1,Chicago Bulls,Los Angeles Clippers
2011-12-31,2012-1-2,Denver Nuggets,Los Angeles Lakers
2011-12-31,2012-1-2,Indiana Pacers,Detroit Pistons
2011-12-31,2012-1-2,Atlanta Hawks,Houston Rockets
2011-12-31,2012-1-2,Phoenix Suns,Oklahoma City Thunder
2011-12-31,2012-1-2,New York Knicks,Sacramento Kings
2011-12-31,2012-1-2,Utah Jazz,San Antonio Spurs
2011-12-31,2012-1-2,Philadelphia 76ers,Golden State Warriors
2012-1-1,2012-1-3,New Jersey Nets,Cleveland Cavaliers
2012-1-1,2012-1-3,Charlotte Bobcats,Miami Heat
2012-1-1,2012-1-3,Toronto Raptors,Orlando Magic
2012-1-1,2012-1-3,Boston Celtics,Washington Wizards
2012-1-1,2012-1-3,Dallas Mavericks,Minnesota Timberwolves
2012-1-1,2012-1-3,Memphis Grizzlies,Chicago Bulls
2012-1-1,2012-1-3,Los Angeles Lakers,Denver Nuggets
2012-1-1,2012-1-3,New Orleans Hornets,Sacramento Kings
2012-1-1,2012-1-3,Portland Trail Blazers,Los Angeles Clippers
2012-1-2,2012-1-4,Golden State Warriors,Phoenix Suns
2012-1-2,2012-1-4,Washington Wizards,Boston Celtics
2012-1-2,2012-1-4,Orlando Magic,Detroit Pistons
2012-1-2,2012-1-4,Atlanta Hawks,Miami Heat
2012-1-2,2012-1-4,Indiana Pacers,New Jersey Nets
2012-1-2,2012-1-4,Toronto Raptors,New York Knicks
2012-1-2,2012-1-4,San Antonio Spurs,Minnesota Timberwolves
2012-1-2,2012-1-4,Oklahoma City Thunder,Dallas Mavericks
2012-1-2,2012-1-4,Milwaukee Bucks,Denver Nuggets
2012-1-2,2012-1-4,New Orleans Hornets,Utah Jazz
2012-1-3,2012-1-5,Charlotte Bobcats,Cleveland Cavaliers
2012-1-3,2012-1-5,Atlanta Hawks,Chicago Bulls
2012-1-3,2012-1-5,Sacramento Kings,Memphis Grizzlies
2012-1-3,2012-1-5,Portland Trail Blazers,Oklahoma City Thunder
2012-1-3,2012-1-5,Milwaukee Bucks,Utah Jazz
2012-1-3,2012-1-5,Houston Rockets,Los Angeles Lakers
2012-1-4,2012-1-6,Washington Wizards,Orlando Magic
2012-1-4,2012-1-6,Cleveland Cavaliers,Toronto Raptors
2012-1-4,2012-1-6,New Jersey Nets,Boston Celtics
2012-1-4,2012-1-6,Chicago Bulls,Detroit Pistons
2012-1-4,2012-1-6,Indiana Pacers,Miami Heat
2012-1-4,2012-1-6,Charlotte Bobcats,New York Knicks
2012-1-4,2012-1-6,Memphis Grizzlies,Minnesota Timberwolves
2012-1-4,2012-1-6,Philadelphia 76ers,New Orleans Hornets
2012-1-4,2012-1-6,Phoenix Suns,Dallas Mavericks
2012-1-4,2012-1-6,Golden State Warriors,San Antonio Spurs
2012-1-4,2012-1-6,Sacramento Kings,Denver Nuggets
2012-1-4,2012-1-6,Houston Rockets,Los Angeles Clippers
2012-1-5,2012-1-7,Miami Heat,Atlanta Hawks
2012-1-5,2012-1-7,Dallas Mavericks,San Antonio Spurs
2012-1-5,2012-1-7,Milwaukee Bucks,Sacramento Kings
2012-1-5,2012-1-7,Los Angeles Lakers,Portland Trail Blazers
2012-1-6,2012-1-8,Atlanta Hawks,Charlotte Bobcats
2012-1-6,2012-1-8,Detroit Pistons,Philadelphia 76ers
2012-1-6,2012-1-8,New Jersey Nets,Toronto Raptors
2012-1-6,2012-1-8,New York Knicks,Washington Wizards
2012-1-6,2012-1-8,Indiana Pacers,Boston Celtics
2012-1-6,2012-1-8,Cleveland Cavaliers,Minnesota Timberwolves
2012-1-6,2012-1-8,Denver Nuggets,New Orleans Hornets
2012-1-6,2012-1-8,Houston Rockets,Oklahoma City Thunder
2012-1-6,2012-1-8,Chicago Bulls,Orlando Magic
2012-1-6,2012-1-8,Memphis Grizzlies,Utah Jazz
2012-1-6,2012-1-8,Golden State Warriors,Los Angeles Lakers
2012-1-6,2012-1-8,Portland Trail Blazers,Phoenix Suns
2012-1-7,2012-1-9,Chicago Bulls,Atlanta Hawks
2012-1-7,2012-1-9,Charlotte Bobcats,Indiana Pacers
2012-1-7,2012-1-9,New York Knicks,Detroit Pistons
2012-1-7,2012-1-9,Miami Heat,New Jersey Nets
2012-1-7,2012-1-9,Oklahoma City Thunder,Houston Rockets
2012-1-7,2012-1-9,Toronto Raptors,Philadelphia 76ers
2012-1-7,2012-1-9,Denver Nuggets,San Antonio Spurs
2012-1-7,2012-1-9,New Orleans Hornets,Dallas Mavericks
2012-1-7,2012-1-9,Utah Jazz,Golden State Warriors
2012-1-7,2012-1-9,Milwaukee Bucks,Los Angeles Clippers
2012-1-8,2012-1-10,Minnesota Timberwolves,Washington Wizards
2012-1-8,2012-1-10,Orlando Magic,Sacramento Kings
2012-1-8,2012-1-10,San Antonio Spurs,Oklahoma City Thunder
2012-1-8,2012-1-10,Milwaukee Bucks,Phoenix Suns
2012-1-8,2012-1-10,Cleveland Cavaliers,Portland Trail Blazers
2012-1-8,2012-1-10,Memphis Grizzlies,Los Angeles Lakers
2012-1-9,2012-1-11,Indiana Pacers,Philadelphia 76ers
2012-1-9,2012-1-11,Minnesota Timberwolves,Toronto Raptors
2012-1-9,2012-1-11,Atlanta Hawks,New Jersey Nets
2012-1-9,2012-1-11,Charlotte Bobcats,New York Knicks
2012-1-9,2012-1-11,Detroit Pistons,Chicago Bulls
2012-1-9,2012-1-11,New Orleans Hornets,Denver Nuggets
2012-1-10,2012-1-12,Houston Rockets,Charlotte Bobcats
2012-1-10,2012-1-12,Sacramento Kings,Philadelphia 76ers
2012-1-10,2012-1-12,Toronto Raptors,Washington Wizards
2012-1-10,2012-1-12,Dallas Mavericks,Detroit Pistons
2012-1-10,2012-1-12,Oklahoma City Thunder,Memphis Grizzlies
2012-1-10,2012-1-12,San Antonio Spurs,Milwaukee Bucks
2012-1-10,2012-1-12,Chicago Bulls,Minnesota Timberwolves
2012-1-10,2012-1-12,Cleveland Cavaliers,Utah Jazz
2012-1-10,2012-1-12,Los Angeles Clippers,Portland Trail Blazers
2012-1-10,2012-1-12,Miami Heat,Golden State Warriors
2012-1-10,2012-1-12,Phoenix Suns,Los Angeles Lakers
2012-1-11,2012-1-13,Atlanta Hawks,Indiana Pacers
2012-1-11,2012-1-13,Sacramento Kings,Toronto Raptors
2012-1-11,2012-1-13,Philadelphia 76ers,New York Knicks
2012-1-11,2012-1-13,Dallas Mavericks,Boston Celtics
2012-1-11,2012-1-13,Washington Wizards,Chicago Bulls
2012-1-11,2012-1-13,Oklahoma City Thunder,New Orleans Hornets
2012-1-11,2012-1-13,Houston Rockets,San Antonio Spurs
2012-1-11,2012-1-13,New Jersey Nets,Denver Nuggets
2012-1-11,2012-1-13,Los Angeles Lakers,Utah Jazz
2012-1-11,2012-1-13,Orlando Magic,Portland Trail Blazers
2012-1-11,2012-1-13,Miami Heat,Los Angeles Clippers
2012-1-12,2012-1-14,Charlotte Bobcats,Atlanta Hawks
2012-1-12,2012-1-14,New York Knicks,Memphis Grizzlies
2012-1-12,2012-1-14,Detroit Pistons,Milwaukee Bucks
2012-1-12,2012-1-14,Cleveland Cavaliers,Phoenix Suns
2012-1-12,2012-1-14,Orlando Magic,Golden State Warriors
2012-1-13,2012-1-15,Detroit Pistons,Charlotte Bobcats
2012-1-13,2012-1-15,Washington Wizards,Philadelphia 76ers
2012-1-13,2012-1-15,Indiana Pacers,Toronto Raptors
2012-1-13,2012-1-15,Chicago Bulls,Boston Celtics
2012-1-13,2012-1-15,Sacramento Kings,Houston Rockets
2012-1-13,2012-1-15,Minnesota Timberwolves,New Orleans Hornets
2012-1-13,2012-1-15,Milwaukee Bucks,Dallas Mavericks
2012-1-13,2012-1-15,Portland Trail Blazers,San Antonio Spurs
2012-1-13,2012-1-15,New Jersey Nets,Phoenix Suns
2012-1-13,2012-1-15,Miami Heat,Denver Nuggets
2012-1-13,2012-1-15,Cleveland Cavaliers,Los Angeles Lakers
2012-1-14,2012-1-16,Minnesota Timberwolves,Atlanta Hawks
2012-1-14,2012-1-16,Golden State Warriors,Charlotte Bobcats
2012-1-14,2012-1-16,Boston Celtics,Indiana Pacers
2012-1-14,2012-1-16,Philadelphia 76ers,Washington Wizards
2012-1-14,2012-1-16,Toronto Raptors,Chicago Bulls
2012-1-14,2012-1-16,Portland Trail Blazers,Houston Rockets
2012-1-14,2012-1-16,New Orleans Hornets,Memphis Grizzlies
2012-1-14,2012-1-16,New York Knicks,Oklahoma City Thunder
2012-1-14,2012-1-16,Sacramento Kings,Dallas Mavericks
2012-1-14,2012-1-16,New Jersey Nets,Utah Jazz
2012-1-14,2012-1-16,Los Angeles Lakers,Los Angeles Clippers
2012-1-15,2012-1-17,Golden State Warriors,Detroit Pistons
2012-1-15,2012-1-17,Utah Jazz,Denver Nuggets
2012-1-15,2012-1-17,Phoenix Suns,San Antonio Spurs
2012-1-16,2012-1-18,Chicago Bulls,Memphis Grizzlies
2012-1-16,2012-1-18,Orlando Magic,New York Knicks
2012-1-16,2012-1-18,Cleveland Cavaliers,Charlotte Bobcats
2012-1-16,2012-1-18,Milwaukee Bucks,Philadelphia 76ers
2012-1-16,2012-1-18,Houston Rockets,Washington Wizards
2012-1-16,2012-1-18,Portland Trail Blazers,New Orleans Hornets
2012-1-16,2012-1-18,New Jersey Nets,Los Angeles Clippers
2012-1-16,2012-1-18,Toronto Raptors,Atlanta Hawks
2012-1-16,2012-1-18,Oklahoma City Thunder,Boston Celtics
2012-1-16,2012-1-18,Sacramento Kings,Minnesota Timberwolves
2012-1-16,2012-1-18,Dallas Mavericks,Los Angeles Lakers
2012-1-17,2012-1-19,Golden State Warriors,Cleveland Cavaliers
2012-1-17,2012-1-19,Charlotte Bobcats,Orlando Magic
2012-1-17,2012-1-19,San Antonio Spurs,Miami Heat
2012-1-17,2012-1-19,Phoenix Suns,Chicago Bulls
2012-1-17,2012-1-19,Detroit Pistons,Houston Rockets
2012-1-17,2012-1-19,Denver Nuggets,Milwaukee Bucks
2012-1-17,2012-1-19,Los Angeles Clippers,Utah Jazz
2012-1-18,2012-1-20,San Antonio Spurs,Orlando Magic
